NTD ID,Agency,HQ City,HQ State,Organization Type, Service Area Population , Service Area SQ Miles ,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY,Passenger Miles FY,3 Mode,Status,Mode,TOS, UZA SQ Miles , UZA Population ,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1/2002,2/2002,3/2002,4/2002,5/2002,6/2002,7/2002,8/2002,9/2002,10/2002,11/2002,12/2002,1/2003,2/2003,3/2003,4/2003,5/2003,6/2003,7/2003,8/2003,9/2003,10/2003,11/2003,12/2003,1/2004,2/2004,3/2004,4/2004,5/2004,6/2004,7/2004,8/2004,9/2004,10/2004,11/2004,12/2004,1/2005,2/2005,3/2005,4/2005,5/2005,6/2005,7/2005,8/2005,9/2005,10/2005,11/2005,12/2005,1/2006,2/2006,3/2006,4/2006,5/2006,6/2006,7/2006,8/2006,9/2006,10/2006,11/2006,12/2006,1/2007,2/2007,3/2007,4/2007,5/2007,6/2007,7/2007,8/2007,9/2007,10/2007,11/2007,12/2007,1/2008,2/2008,3/2008,4/2008,5/2008,6/2008,7/2008,8/2008,9/2008,10/2008,11/2008,12/2008,1/2009,2/2009,3/2009,4/2009,5/2009,6/2009,7/2009,8/2009,9/2009,10/2009,11/2009,12/2009,1/2010,2/2010,3/2010,4/2010,5/2010,6/2010,7/2010,8/2010,9/2010,10/2010,11/2010,12/2010,1/2011,2/2011,3/2011,4/2011,5/2011,6/2011,7/2011,8/2011,9/2011,10/2011,11/2011,12/2011,1/2012,2/2012,3/2012,4/2012,5/2012,6/2012,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023,1/2024,2/2024,3/2024,4/2024,5/2024,6/2024,7/2024,8/2024,9/2024,10/2024,11/2024,12/2024,1/2025,2/2025,3/2025,4/2025,5/2025,,,,,
20100,MTA Long Island Rail Road,New York,NY,"Subsidiary Unit of a Transit Agency, Reporting Separately"," 11,170,342 "," 2,967 ",24 ,"$568,950,760.00 ","$2,135,218,700.00 ",$25.47 ,$6.79 ,"2,033,685,836 ",Rail,Active,CR,DO," 3,248.12 "," 19,426,449 "," 92,831,324 "," 101,593,000 "," 99,139,000 "," 99,776,740 "," 94,844,000 "," 99,175,000 "," 100,092,000 "," 100,317,136 "," 97,839,995 "," 98,081,900 "," 96,730,948 "," 97,090,255 "," 98,393,879 "," 98,699,512 "," 103,196,857 "," 103,630,405 "," 105,538,101 "," 114,241,364 "," 43,484,907 "," 49,167,557 "," 81,613,697 "," 83,835,706 "," 97,220,517 "," 40,869,744 ",6936803,6171531,6942572,7091593,7148810,7174015,8749000,8768000,8166000,8984000,8185000,8514000,8808000,7670000,8497000,8602000,8483000,8369000,8716000,8497000,8369000,8949000,7917000,8716000,8497000,7789000,8657000,8318000,7951000,8318000,8194000,8414000,8075000,8194000,8075000,8657000,8194000,7544940,8830140,8259960,8334420,8484360,8110020,8830140,8236500,8357880,8236500,8357880,7939000,7183000,8389000,7625000,8164000,8062000,7727000,8389000,7625000,8177000,7837000,7727000,8164000,7183000,8556000,8220000,8556000,8232000,8344000,8768000,7808000,8768000,8432000,8144000,8556000,7884000,8356000,8432000,8356000,8232000,8568000,8356000,8220000,8768000,7808000,8556000,8144000,7548000,8556000,8529422,8215130,8529422,8872175,8433883,8310669,8652636,7872377,8653422,7995591,7625163,8872175,8204478,7894979,8204478,8117572,8310812,7981885,8117572,7981885,8533405,7894979,7353384,8533405,8130137,8217865,8328486,8019516,8662169,8130137,8241668,8106334,8463820,8217865,7772651,8463820,7953676,8278006,7980662,8068654,8487358,7561958,8106334,7953676,7886288,8068654,7305016,8095640,8272530,8368704,7834965,8368704,8406977,7796692,8606623,7834965,8130785,7731493,7366425,8169058,8422238,8332312,8198629,8555921,8351837,8198629,8760005,7770936,8536396,8108703,7523095,8536396,8336646,8024139,8336646,8670257,8252336,8108449,8480533,7880252,8442060,7834415,7546641,8670257,8664477,8756427,8872002,8548902,9226761,8636835,8784069,8636835,9019236,8756427,7927317,9226761,8302660,8855207,8738960,8418907,9088432,8302660,8855207,8505735,8652132,8855207,7806791,8885357,8761577,9121533,8761577,8884650,9358416,8311522,9358416,8761577,8671478,8884650,8041665,8908361,9836496,9993895,9405105,9993895,10018510,9765892,10221898,9405105,9765892,10504976,9512293,4873314,292484,662154,1537461,2330226,2523085,2885817,3071392,2733433,2558272,2405363,2071037,2937751,3091364,3571911,4577324,4897917,4795671,5314595,5426059,5217244,4861321,6834491,6193602,7075375,6744112,6834491,6821598,6757005,7075375,6701156,6877447,6701156,6997889,6995858,6336161,7337480,6749535,7166669,7060644,7026371,7330580,6920346,7166669,6889833,6855560,7052240,7885050,7073356,8389736,8538262,8045875,8536062,8550561,8031376,8715242,8045875,8356882,8356882,7559544,8371381,8210556,8371381,,,,,
20217,"Hampton Jitney, Inc.",CALVERTON,NY,Private-For-Profit Corporation," 9,908,805 "," 1,215 ",92 ,"$21,465,286.00 ","$18,124,411.00 ",$33.83 ,$40.06 ,"49,533,110 ",Bus,Active,CB,DO," 3,248.12 "," 19,426,449 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 836,243 "," 825,125 "," 815,893 "," 809,019 "," 795,411 "," 793,534 "," 290,686 "," 483,740 "," 521,577 "," 535,803 "," 543,685 ", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40235,36150,44198,51391,71321,90473,127408,137486,73074,59060,53731,51716,41672,34772,42276,53085,72868,84817,126121,132581,78899,54833,51931,51270,42091,37761,45229,49453,63152,85979,127612,128506,74737,57489,53170,50714,41725,36314,40471,50472,64938,86416,126862,127912,74581,57916,52495,48917,39825,37010,41244,47978,65342,85415,122406,128608,72116,55956,51402,48109,39685,36365,42721,47528,66376,86686,122739,131415,69879,54991,49272,45877,38992,35967,17539,75,4328,17514,33417,39274,34491,28510,22507,18072,16934,15194,20916,26126,41252,56994,79034,75317,48999,38800,35435,28739,19843,19907,25282,32473,44431,61906,82311,82897,48550,38663,33079,32235,26681,24232,27230,31985,44651,61281,82462,85963,46848,38464,34601,31405,25621,23636,28672,30702,45038,61387,87555,91302,45140,39396,33463,31773,0,0,0,0,0,,,,,
20177,"Adirondack Transit Lines, Inc.",HURLEY,NY,Private-For-Profit Corporation," 9,428,015 "," 10,702 ",86 ,"$8,583,815.00 ","$12,417,320.00 ",$34.23 ,$23.66 ,"31,065,245 ",Bus,Active,CB,DO," 3,248.12 "," 19,426,449 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 536,833 "," 535,667 "," 601,499 "," 605,190 "," 540,578 "," 632,393 "," 527,799 "," 478,675 "," 130,782 "," 209,281 "," 298,376 "," 362,745 "," 356,975 "," 101,610 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,40010,46648,45730,44345,40956,48033,54086,43980,43136,47410,43177,35660,34469,48114,40616,44784,40649,47540,55128,42863,47252,45534,53058,41511,37601,50358,48571,49259,46207,55501,65405,49621,54138,54094,49233,39538,39420,49843,47470,49897,44479,58765,64905,53187,55213,54903,47570,36890,37167,46834,40864,45546,40491,51141,53304,45466,48861,49041,44973,42747,40466,49462,50911,51002,48728,61358,65949,53911,58476,57724,51659,35657,34487,44309,41594,44416,42890,51185,55876,44021,46797,45974,40593,30062,30191,38191,38845,40189,37898,46166,52217,39897,43356,40119,41544,31354,29871,17310,0,0,3558,7605,7981,8901,9359,8257,6586,6999,6891,10284,13512,16399,17671,22513,21612,24240,24551,24341,20268,14230,16384,24698,25338,26845,21621,31717,26519,24403,26514,30523,29584,23886,22641,27364,26319,28944,29704,37891,35286,31299,36426,34171,28814,22258,23951,30496,27620,28587,28984,32444,34659,30262,34414,31794,31506,23728,22671,28179,27032,0,,,,,
20177,"Adirondack Transit Lines, Inc.",HURLEY,NY,Private-For-Profit Corporation," 9,428,015 "," 10,702 ",82 ,"$9,322,727.00 ","$12,149,566.00 ",$22.51 ,$17.27 ,"44,018,667 ",Bus,Inactive,MB,DO," 3,248.12 "," 19,426,449 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 536,833 "," 535,667 "," 601,499 "," 605,190 "," 540,578 "," 632,393 "," 527,799 "," 478,675 "," 130,782 "," 209,281 "," 298,376 "," 362,745 "," 356,975 "," 101,610 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,40010,46648,45730,44345,40956,48033,54086,43980,43136,47410,43177,35660,34469,48114,40616,44784,40649,47540,55128,42863,47252,45534,53058,41511,37601,50358,48571,49259,46207,55501,65405,49621,54138,54094,49233,39538,39420,49843,47470,49897,44479,58765,64905,53187,55213,54903,47570,36890,37167,46834,40864,45546,40491,51141,53304,45466,48861,49041,44973,42747,40466,49462,50911,51002,48728,61358,65949,53911,58476,57724,51659,35657,34487,44309,41594,44416,42890,51185,55876,44021,46797,45974,40593,30062,30191,38191,38845,40189,37898,46166,52217,39897,43356,40119,41544,31354,29871,17310,0,0,3558,7605,7981,8901,9359,8257,6586,6999,6891,10284,13512,16399,17671,22513,21612,24240,24551,24341,20268,14230,16384,24698,25338,26845,21621,31717,26519,24403,26514,30523,29584,23886,22641,27364,26319,28944,29704,37891,35286,31299,36426,34171,28814,22258,23951,30496,27620,28587,28984,32444,34659,30262,34414,31794,31506,23728,22671,28179,27032,0,,,,,
20082,New York City Department of Transportation,NEW YORK,NY,"City, County or Local Government Unit or Department of Transportation"," 8,804,190 ", 372 ,33 ,"$270,968.00 ","$1,162,318.00 ",$25.23 ,$5.88 ,"1,517,480 ",Bus,Inactive,CB,PT," 3,248.12 "," 19,426,449 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 273,099 "," 530,883 "," 462,295 "," 355,399 "," 109,086 "," 78,773 ", -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42241,48655,48009,46871,45091,42232,47360,42873,50151,43543,49782,47847,39694,45219,40693,45635,42157,35929,42694,39825,42940,43958,45858,42299,39860,38489,31037,38129,30368,26838,33923,29715,32441,32778,33188,29259,28919,27074,27832,31103,25481,23686,28811,26267,16285,1595,1996,3362,4648,4689,5699,6184,4895,4655,4715,4089,5542,5749,5568,7035,6841,7247,7656,8604,8480,7247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
20082,New York City Department of Transportation,NEW YORK,NY,"City, County or Local Government Unit or Department of Transportation"," 8,804,190 ", 372 ,5 ,$0.00 ,"$153,811,666.00 ",$10.45 ,$0.00 ,"76,519,888 ",Ferry,Active,FB,DO," 3,248.12 "," 19,426,449 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 273,099 "," 530,883 "," 462,295 "," 355,399 "," 109,086 "," 78,773 ", -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42241,48655,48009,46871,45091,42232,47360,42873,50151,43543,49782,47847,39694,45219,40693,45635,42157,35929,42694,39825,42940,43958,45858,42299,39860,38489,31037,38129,30368,26838,33923,29715,32441,32778,33188,29259,28919,27074,27832,31103,25481,23686,28811,26267,16285,1595,1996,3362,4648,4689,5699,6184,4895,4655,4715,4089,5542,5749,5568,7035,6841,7247,7656,8604,8480,7247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
20082,New York City Department of Transportation,NEW YORK,NY,"City, County or Local Government Unit or Department of Transportation"," 8,804,190 ", 372 ,7 ,"$3,220,331.00 ","$6,386,524.00 ",$10.65 ,$5.37 ,"4,479,822 ",Bus,Inactive,MB,PT," 3,248.12 "," 19,426,449 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 273,099 "," 530,883 "," 462,295 "," 355,399 "," 109,086 "," 78,773 ", -   , -   , -   , -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42241,48655,48009,46871,45091,42232,47360,42873,50151,43543,49782,47847,39694,45219,40693,45635,42157,35929,42694,39825,42940,43958,45858,42299,39860,38489,31037,38129,30368,26838,33923,29715,32441,32778,33188,29259,28919,27074,27832,31103,25481,23686,28811,26267,16285,1595,1996,3362,4648,4689,5699,6184,4895,4655,4715,4089,5542,5749,5568,7035,6841,7247,7656,8604,8480,7247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
20080,New Jersey Transit Corporation,NEWARK,NJ,Other Publicly-Owned or Privately Chartered Corporation," 8,464,944 "," 5,325 ",25 ,"$379,678,065.00 ","$1,315,131,399.00 ",$24.46 ,$7.06 ,"1,329,182,885 ",Rail,Active,CR,DO," 3,248.12 "," 19,426,449 "," 62,999,979 "," 62,866,315 "," 67,258,893 "," 73,140,237 "," 77,510,820 "," 82,718,831 "," 85,733,467 "," 81,950,362 "," 80,850,981 "," 80,206,477 "," 80,823,575 "," 83,509,264 "," 88,062,074 "," 90,371,835 "," 89,741,590 "," 87,107,463 "," 88,379,435 "," 89,980,385 "," 28,956,451 "," 30,059,448 "," 46,719,022 "," 58,247,168 "," 60,569,778 "," 19,596,086 ",5350685,4832877,5350685,5178082,5350685,5178080,5350680,5350685,5178080,5350680,5178080,5350680,5350000,4825000,5325675,5182150,5325670,5180200,5360670,5245500,5425860,5236140,5234000,5175450,5454376,4926533,5356275,5445750,5565500,5545750,5575340,5893380,5670330,5637172,6053287,6135200,6099580,5679469,5474800,6027126,5942979,6053383,6333066,6182922,6241597,6271273,6374318,6459724,6455974,6146309,5824594,6405650,6332596,6485333,6569109,6559530,6532265,6572965,6800963,6825532,6933856,6442499,6161835,6739655,7055983,6950921,7045075,6925678,6828952,7272796,7206732,7154849,6763939,6608428,7118208,6996121,7202087,7385414,7582941,7274791,7220054,7358652,7038491,7184341,6529150,6335945,6817143,6737114,6680106,6828454,7046662,6756928,7057601,7044039,7060024,7057196,6495099,6092954,7013336,7151735,6653177,6814689,6778112,6659482,6690007,6870001,6862985,6769404,6127524,5986065,6790692,6598962,6670367,6828420,6877799,6408608,6768380,6941373,6972375,7235912,6515426,6419276,6895455,6844625,7030902,7088318,7070320,7116989,7128062,6972662,4989203,6752337,6341728,6048210,6838284,6918895,6962154,6997464,7203666,7078306,7079924,7389338,7220240,7431055,6671489,6431037,7078587,7228024,7311383,7516152,7652293,7448476,7693165,7766141,7475489,7789838,6864843,6547032,7339340,7398229,7613670,7759867,7885098,7681027,7892437,7872848,7718400,7799044,6995761,6974275,7509496,7237318,7490008,7816555,7673834,7673535,7522310,7507031,7624041,7717426,7077284,6763306,7257017,6995832,7283898,7482763,7208363,7179780,7296729,7665100,7498379,7399012,6833697,6691683,7012022,7146682,7464362,7663558,7660243,7557196,7414256,7885492,7560500,7489744,6883020,6857232,7383532,7496417,7688131,7687168,7654222,7577617,7736083,7978160,7547988,7490815,7123674,6838023,4777030,538095,284567,784152,1172594,1340860,1573823,1686293,1460389,1376951,1366322,1293559,1661036,1458267,2115213,2591609,2902968,2870095,3115502,3601446,3737705,3345726,2327813,2869641,3640125,3682735,3837036,4123599,3979072,4203619,4481964,4594465,4522085,4456868,4354739,3965747,4581493,4606740,5050387,4966334,4877123,5036673,5070405,5429934,5196767,5110826,4695145,4601263,5033229,5130436,5230577,5034701,4789146,4101884,5393138,5872649,5305953,5381657,4766470,4382929,5173063,5273624,0,,,,,
20080,New Jersey Transit Corporation,NEWARK,NJ,Other Publicly-Owned or Privately Chartered Corporation," 8,464,944 "," 5,325 ",38 ,$0.00 ,"$2,268,831.00 ",$6.93 ,$0.00 ,"12,298,425 ",Rail,Inactive,CR,PT," 3,248.12 "," 19,426,449 "," 62,999,979 "," 62,866,315 "," 67,258,893 "," 73,140,237 "," 77,510,820 "," 82,718,831 "," 85,733,467 "," 81,950,362 "," 80,850,981 "," 80,206,477 "," 80,823,575 "," 83,509,264 "," 88,062,074 "," 90,371,835 "," 89,741,590 "," 87,107,463 "," 88,379,435 "," 89,980,385 "," 28,956,451 "," 30,059,448 "," 46,719,022 "," 58,247,168 "," 60,569,778 "," 19,596,086 ",5350685,4832877,5350685,5178082,5350685,5178080,5350680,5350685,5178080,5350680,5178080,5350680,5350000,4825000,5325675,5182150,5325670,5180200,5360670,5245500,5425860,5236140,5234000,5175450,5454376,4926533,5356275,5445750,5565500,5545750,5575340,5893380,5670330,5637172,6053287,6135200,6099580,5679469,5474800,6027126,5942979,6053383,6333066,6182922,6241597,6271273,6374318,6459724,6455974,6146309,5824594,6405650,6332596,6485333,6569109,6559530,6532265,6572965,6800963,6825532,6933856,6442499,6161835,6739655,7055983,6950921,7045075,6925678,6828952,7272796,7206732,7154849,6763939,6608428,7118208,6996121,7202087,7385414,7582941,7274791,7220054,7358652,7038491,7184341,6529150,6335945,6817143,6737114,6680106,6828454,7046662,6756928,7057601,7044039,7060024,7057196,6495099,6092954,7013336,7151735,6653177,6814689,6778112,6659482,6690007,6870001,6862985,6769404,6127524,5986065,6790692,6598962,6670367,6828420,6877799,6408608,6768380,6941373,6972375,7235912,6515426,6419276,6895455,6844625,7030902,7088318,7070320,7116989,7128062,6972662,4989203,6752337,6341728,6048210,6838284,6918895,6962154,6997464,7203666,7078306,7079924,7389338,7220240,7431055,6671489,6431037,7078587,7228024,7311383,7516152,7652293,7448476,7693165,7766141,7475489,7789838,6864843,6547032,7339340,7398229,7613670,7759867,7885098,7681027,7892437,7872848,7718400,7799044,6995761,6974275,7509496,7237318,7490008,7816555,7673834,7673535,7522310,7507031,7624041,7717426,7077284,6763306,7257017,6995832,7283898,7482763,7208363,7179780,7296729,7665100,7498379,7399012,6833697,6691683,7012022,7146682,7464362,7663558,7660243,7557196,7414256,7885492,7560500,7489744,6883020,6857232,7383532,7496417,7688131,7687168,7654222,7577617,7736083,7978160,7547988,7490815,7123674,6838023,4777030,538095,284567,784152,1172594,1340860,1573823,1686293,1460389,1376951,1366322,1293559,1661036,1458267,2115213,2591609,2902968,2870095,3115502,3601446,3737705,3345726,2327813,2869641,3640125,3682735,3837036,4123599,3979072,4203619,4481964,4594465,4522085,4456868,4354739,3965747,4581493,4606740,5050387,4966334,4877123,5036673,5070405,5429934,5196767,5110826,4695145,4601263,5033229,5130436,5230577,5034701,4789146,4101884,5393138,5872649,5305953,5381657,4766470,4382929,5173063,5273624,0,,,,,
20080,New Jersey Transit Corporation,NEWARK,NJ,Other Publicly-Owned or Privately Chartered Corporation," 8,464,944 "," 5,325 ",7 ,"$2,780,608.00 ","$128,346,967.00 ",$86.42 ,$1.87 ,"9,795,763 ",Bus,Active,DR,PT," 3,248.12 "," 19,426,449 "," 62,999,979 "," 62,866,315 "," 67,258,893 "," 73,140,237 "," 77,510,820 "," 82,718,831 "," 85,733,467 "," 81,950,362 "," 80,850,981 "," 80,206,477 "," 80,823,575 "," 83,509,264 "," 88,062,074 "," 90,371,835 "," 89,741,590 "," 87,107,463 "," 88,379,435 "," 89,980,385 "," 28,956,451 "," 30,059,448 "," 46,719,022 "," 58,247,168 "," 60,569,778 "," 19,596,086 ",5350685,4832877,5350685,5178082,5350685,5178080,5350680,5350685,5178080,5350680,5178080,5350680,5350000,4825000,5325675,5182150,5325670,5180200,5360670,5245500,5425860,5236140,5234000,5175450,5454376,4926533,5356275,5445750,5565500,5545750,5575340,5893380,5670330,5637172,6053287,6135200,6099580,5679469,5474800,6027126,5942979,6053383,6333066,6182922,6241597,6271273,6374318,6459724,6455974,6146309,5824594,6405650,6332596,6485333,6569109,6559530,6532265,6572965,6800963,6825532,6933856,6442499,6161835,6739655,7055983,6950921,7045075,6925678,6828952,7272796,7206732,7154849,6763939,6608428,7118208,6996121,7202087,7385414,7582941,7274791,7220054,7358652,7038491,7184341,6529150,6335945,6817143,6737114,6680106,6828454,7046662,6756928,7057601,7044039,7060024,7057196,6495099,6092954,7013336,7151735,6653177,6814689,6778112,6659482,6690007,6870001,6862985,6769404,6127524,5986065,6790692,6598962,6670367,6828420,6877799,6408608,6768380,6941373,6972375,7235912,6515426,6419276,6895455,6844625,7030902,7088318,7070320,7116989,7128062,6972662,4989203,6752337,6341728,6048210,6838284,6918895,6962154,6997464,7203666,7078306,7079924,7389338,7220240,7431055,6671489,6431037,7078587,7228024,7311383,7516152,7652293,7448476,7693165,7766141,7475489,7789838,6864843,6547032,7339340,7398229,7613670,7759867,7885098,7681027,7892437,7872848,7718400,7799044,6995761,6974275,7509496,7237318,7490008,7816555,7673834,7673535,7522310,7507031,7624041,7717426,7077284,6763306,7257017,6995832,7283898,7482763,7208363,7179780,7296729,7665100,7498379,7399012,6833697,6691683,7012022,7146682,7464362,7663558,7660243,7557196,7414256,7885492,7560500,7489744,6883020,6857232,7383532,7496417,7688131,7687168,7654222,7577617,7736083,7978160,7547988,7490815,7123674,6838023,4777030,538095,284567,784152,1172594,1340860,1573823,1686293,1460389,1376951,1366322,1293559,1661036,1458267,2115213,2591609,2902968,2870095,3115502,3601446,3737705,3345726,2327813,2869641,3640125,3682735,3837036,4123599,3979072,4203619,4481964,4594465,4522085,4456868,4354739,3965747,4581493,4606740,5050387,4966334,4877123,5036673,5070405,5429934,5196767,5110826,4695145,4601263,5033229,5130436,5230577,5034701,4789146,4101884,5393138,5872649,5305953,5381657,4766470,4382929,5173063,5273624,0,,,,,
